<<<<<<< HEAD
DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
190305408,1/22/2019 0:00,9/21/2012 0:00,1200,3,Southwest,308,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,0,X,X,213,WAREHOUSE,,,IC,Invest Cont,341,,,,1000 W  24TH                         ST,,34.0335,-118.2821
192019580,11/6/2019 0:00,12/1/2012 0:00,1,20,Olympic,2029,2,354,THEFT OF IDENTITY,1202 0930 0928 0929 1820,57,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,400    SHATTO                       PL,,34.067,-118.2899
190410732,5/30/2019 0:00,1/1/2012 0:00,2300,4,Hollenbeck,454,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0400 0558 0500 0519 0545,15,M,H,504,OTHER RESIDENCE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,821,,,100 S  STATE                        ST,,34.0453,-118.2197
191006017,2/14/2019 0:00,1/1/2012 0:00,100,10,West Valley,1004,2,860,BATTERY WITH SEXUAL CONTACT,0558 0522,12,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,860,,,,18300    KESWICK                      ST,,34.2102,-118.5317
191222425,9/10/2019 0:00,7/1/2013 0:00,2200,12,77th Street,1268,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1259 0522 0913 0432 1251,8,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,100 E  84TH                         PL,,33.9619,-118.2739
190920414,11/26/2019 0:00,5/11/2013 0:00,1,9,Van Nuys,914,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 1822,9,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,760,812,,,14900    VANOWEN                      ST,,34.1976,-118.4574
190213777,6/17/2019 0:00,1/1/2013 0:00,1200,2,Rampart,237,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1251 1258 0554 0510 0522 0503 0602,4,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,1600    CROWN HILL                   AV,,34.0606,-118.2648
191710370,5/21/2019 0:00,1/1/2013 0:00,800,17,Devonshire,1794,2,354,THEFT OF IDENTITY,1822,17,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,18600    BRYANT                       ST,,34.2274,-118.5383
191219504,6/10/2019 0:00,10/22/2013 0:00,5,12,77th Street,1241,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0500 0503,8,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,813,,,6500 S  VICTORIA                     AV,,33.9806,-118.3323
190316146,7/5/2019 0:00,12/9/2013 0:00,1300,3,Southwest,326,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1810 2021 0416 0445,48,M,B,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,2600    KENWOOD                      AV,,34.0328,-118.2991
191120980,12/17/2019 0:00,1/1/2013 0:00,2359,11,Northeast,1127,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 0400 0522 0515 1801,12,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,6000    FAYETTE                      ST,,34.1194,-118.1889
191218846,7/22/2019 0:00,1/1/2013 0:00,1,12,77th Street,1248,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0400 0515 0510 0541 0552 0551 0537,6,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,812,821,,,6200 S  VERMONT                      AV,,33.9833,-118.2915
190217012,8/21/2019 0:00,1/1/2013 0:00,800,2,Rampart,249,2,354,THEFT OF IDENTITY,0100 0929,30,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1100 W  6TH                          ST,,34.0541,-118.2621
191904343,1/7/2019 0:00,9/1/2013 0:00,1200,19,Mission,1982,2,354,THEFT OF IDENTITY,1822 0928,21,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,15300    RAYEN                        ST,,34.2319,-118.4655
190916787,9/12/2019 0:00,3/1/2013 0:00,1,9,Van Nuys,939,2,354,THEFT OF IDENTITY,0928 1822,44,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,13000    OXNARD                       ST,,34.1794,-118.4162
191616775,11/23/2019 0:00,1/1/2013 0:00,800,16,Foothill,1657,2,354,THEFT OF IDENTITY,928,56,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,10100    SAMOA                        AV,,34.2523,-118.2873
191715798,9/16/2019 0:00,1/1/2013 0:00,800,17,Devonshire,1767,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1258 0940 1501 0500,7,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,9500    RESEDA                       BL,,34.2428,-118.5361
190917419,9/26/2019 0:00,6/9/2013 0:00,1,9,Van Nuys,963,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,33,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,15200    VALLEYHEART                  DR,,34.1616,-118.464
190517055,10/18/2019 0:00,6/1/2013 0:00,1,5,Harbor,558,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0519 0512 1258 1402 1415 1409 0360 0913,8,M,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,998,,,500 W  21ST                         ST,,33.7489,-118.2798
191107095,3/6/2019 0:00,3/7/2013 0:00,800,11,Northeast,1143,2,354,THEFT OF IDENTITY,0928 1822,38,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3900    SUNSET                       DR,,34.0977,-118.277
190105569,1/17/2019 0:00,7/17/2013 0:00,700,1,Central,155,1,121,"RAPE, FORCIBLE",0533 0913 0500,22,F,B,505,MOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,200 E  6TH                          ST,,34.0448,-118.2474
190911934,6/6/2019 0:00,9/1/2013 0:00,1200,9,Van Nuys,905,2,354,THEFT OF IDENTITY,0377 0928,30,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,14600    COHASSET                     ST,,34.2067,-118.4512
191520649,11/13/2019 0:00,3/4/2013 0:00,1200,15,N Hollywood,1538,2,354,THEFT OF IDENTITY,377,31,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,5700    VINELAND                     AV,,34.1758,-118.3746
192116890,10/8/2019 0:00,1/1/2013 0:00,1,21,Topanga,2136,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0522 0556 1257,4,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,7300    ETON                         AV,,34.2029,-118.5955
191616833,11/25/2019 0:00,1/1/2013 0:00,800,16,Foothill,1663,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 2000 1814,27,F,H,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,AO,Adult Other,930,,,,12000    SHELDON                      ST,,34.2393,-118.3938
190306839,2/13/2019 0:00,1/1/2013 0:00,1200,3,Southwest,374,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1251 1259 0360 0505 0500 2024,9,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,812,860,,,3800 S  VAN NESS                     AV,,34.0148,-118.3222
190708614,4/2/2019 0:00,2/1/2013 0:00,800,7,Wilshire,753,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1202,78,F,B,510,NURSING/CONVALESCENT/RETIREMENT HOME,,,IC,Invest Cont,341,,,,1000 S  FAIRFAX                      AV,,34.0582,-118.3638
191214184,5/21/2019 0:00,1/10/2013 0:00,1000,12,77th Street,1243,2,354,THEFT OF IDENTITY,0930 1822 0100,35,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2000 W  66TH                         ST,,33.9791,-118.3133
200811313,8/22/2019 0:00,2/1/2013 0:00,1,8,West LA,806,1,121,"RAPE, FORCIBLE",1814 0444 0500 0522 0527 0510,23,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,1100    STONE CANYON                 RD,,34.0939,-118.4486
190712763,6/25/2019 0:00,4/23/2013 0:00,100,7,Wilshire,724,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0519 2000 1814 0416 0423 0507 0438,21,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,821,,,,7600    BEVERLY                      BL,,34.0761,-118.3555
190314986,6/16/2019 0:00,1/1/2013 0:00,1,3,Southwest,361,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1251 0522 0360 0503 1258 2034 0551,6,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,760,812,,,4000    STEVELY                      AV,,34.015,-118.3536
190805057,1/25/2019 0:00,2/15/2013 0:00,1,8,West LA,807,1,310,BURGLARY,0344 0352 1221 1606,32,F,W,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,310,,,,1200 N  BEVERLY GLEN                 BL,,34.0954,-118.4407
190508226,4/8/2019 0:00,7/1/2013 0:00,30,5,Harbor,525,1,121,"RAPE, FORCIBLE",0527 1817 1259 1206 1262 0500,16,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,F                            ST,HAWAIIAN                     AV,33.7739,-118.2678
192110923,6/1/2019 0:00,6/1/2013 0:00,1200,21,Topanga,2187,2,763,STALKING,0347 1820,36,F,W,402,MARKET,515,PHYSICAL PRESENCE,AO,Adult Other,763,,,,21000    VENTURA                      BL,,34.1667,-118.5908
191309017,2/26/2019 0:00,1/1/2013 0:00,5,13,Newton,1313,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0558 0551 0522 0448 0503,11,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,1200 E  20TH                         ST,,34.0243,-118.2526
190508583,4/15/2019 0:00,4/12/2013 0:00,1430,5,Harbor,514,1,310,BURGLARY,0397 1601 0344 1236,0,X,X,118,CONSTRUCTION SITE,,,IC,Invest Cont,310,,,,1700    FIGUEROA                     ST,,33.7968,-118.2828
191008066,4/3/2019 0:00,6/13/2013 0:00,900,10,West Valley,1045,2,354,THEFT OF IDENTITY,0377 1822,20,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,17800    BURBANK                      BL,,34.1723,-118.5203
190308083,3/5/2019 0:00,1/22/2013 0:00,800,3,Southwest,354,2,354,THEFT OF IDENTITY,1822,34,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3400    6TH                          AV,,34.0256,-118.3236
191812330,5/17/2019 0:00,12/27/2013 0:00,1200,18,Southeast,1822,2,354,THEFT OF IDENTITY,1822,22,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,200 W  COLDEN                       AV,,33.9492,-118.2766
191223629,9/28/2019 0:00,1/1/2013 0:00,1,12,77th Street,1259,1,820,ORAL COPULATION,1257 1251 0512 0360 0522,4,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,812,820,,,600 E  74TH                         ST,,33.973,-118.2652
192010125,5/3/2019 0:00,11/15/2013 0:00,900,20,Olympic,2081,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,54,F,B,729,SPECIALTY SCHOOL/OTHER,,,AO,Adult Other,956,,,,2400 W  WASHINGTON                   BL,,34.0418,-118.3134
190222164,11/22/2019 0:00,11/16/2013 0:00,1200,2,Rampart,202,2,354,THEFT OF IDENTITY,0100 0928 1822,15,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4100    NORMAL                       AV,,34.0888,-118.2881
190600952,5/2/2019 0:00,1/1/2013 0:00,1600,6,Hollywood,678,1,121,"RAPE, FORCIBLE",0500 0552,13,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,812,,,5200    ROMAINE                      ST,,34.0885,-118.3056
191110194,5/7/2019 0:00,8/30/2013 0:00,1,11,Northeast,1134,1,121,"RAPE, FORCIBLE",1402 1409 0518 0527 1258 0522 0515 1801 0400 1261,13,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,121,812,998,,2800    ESTARA                       AV,,34.114,-118.2371
191109781,4/26/2019 0:00,5/27/2013 0:00,1330,11,Northeast,1161,1,121,"RAPE, FORCIBLE",0516 0526 0527 0602 1251 1258 1259 0360,10,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,121,812,,,1200 N  EDGEMONT                     ST,,34.0931,-118.2983
190213065,6/13/2019 0:00,6/12/2013 0:00,1930,2,Rampart,247,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,25,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,1800 W  5TH                          ST,,34.0588,-118.2706
190622827,11/25/2019 0:00,1/1/2013 0:00,900,6,Hollywood,636,2,354,THEFT OF IDENTITY,1822,65,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1700 N  IVAR                         AV,,34.1016,-118.3282
191912835,7/3/2019 0:00,11/20/2013 0:00,1200,19,Mission,1902,2,354,THEFT OF IDENTITY,1822 0928 0929,32,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,14300    POLK                         ST,,34.3196,-118.4561
190406937,3/11/2019 0:00,1/1/2013 0:00,1,4,Hollenbeck,497,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 0552 0551 0522,11,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,812,860,,,2900    GLENN                        AV,,34.0235,-118.2152
190607158,2/24/2019 0:00,11/1/2013 0:00,1200,6,Hollywood,663,2,860,BATTERY WITH SEXUAL CONTACT,0400 0500 0522,24,F,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,6700    SANTA MONICA                 BL,,34.0907,-118.3363
190506259,2/21/2019 0:00,8/10/2013 0:00,600,5,Harbor,581,2,354,THEFT OF IDENTITY,0928 1822,21,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3400    ABALONE                      AV,,33.7227,-118.3211
190304824,1/13/2019 0:00,5/23/2013 0:00,2000,3,Southwest,335,1,820,ORAL COPULATION,0549 1309 1251 1259 0558 0515 0522 0507,9,F,H,501,SINGLE FAMILY DWELLING,515,PHYSICAL PRESENCE,JA,Juv Arrest,812,820,,,2900    4TH                          AV,,34.0287,-118.3212
192018795,10/22/2019 0:00,1/1/2013 0:00,2200,20,Olympic,2004,2,860,BATTERY WITH SEXUAL CONTACT,0522 1820 1402,10,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,760,860,998,,WESTERN                      AV,BEVERLY                      BL,34.0763,-118.3092
191715413,9/16/2019 0:00,1/1/2013 0:00,800,17,Devonshire,1701,2,813,CHILD ANNOYING (17YRS & UNDER),0509 0510 0552,2,F,O,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,813,,,,20700    VENETO                       WY,,34.2854,-118.5844
192006764,2/26/2019 0:00,9/1/2013 0:00,900,20,Olympic,2038,2,354,THEFT OF IDENTITY,0100 1202,58,F,K,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,3000    LEEWARD                      AV,,34.0587,-118.2891
191008791,4/22/2019 0:00,11/2/2013 0:00,5,10,West Valley,1019,2,354,THEFT OF IDENTITY,0377 1822,0,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,7400    HASKELL                      AV,,34.2049,-118.4749
192006023,2/7/2019 0:00,6/7/2013 0:00,800,20,Olympic,2014,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0522 0503 0518 0537 0515 0528 0516 1402,70,F,H,719,MEDICAL/DENTAL OFFICES,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,815,998,,,4200    BEVERLY                      BL,,34.0763,-118.3009
191105326,1/26/2019 0:00,10/22/2013 0:00,1200,11,Northeast,1136,2,354,THEFT OF IDENTITY,0100 0928 1822,31,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3400    VERDUGO VISTA                TR,,34.1169,-118.2206
191011907,7/4/2019 0:00,1/1/2013 0:00,2130,10,West Valley,1003,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),,10,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,8100    RESEDA                       BL,,34.2148,-118.5404
191518751,10/10/2019 0:00,1/1/2013 0:00,1200,15,N Hollywood,1538,2,354,THEFT OF IDENTITY,0377 0930 1822,24,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,5700    FAIR                         AV,,34.174,-118.3746
192106269,2/21/2019 0:00,6/25/2013 0:00,900,21,Topanga,2157,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,51,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740,,,,20700    SKOURAS                      DR,,34.1926,-118.5838
190905238,1/26/2019 0:00,6/1/2013 0:00,600,9,Van Nuys,994,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,1258 0522 0515,3,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,815,,,4000    MURIETTA                     AV,,34.1429,-118.4351
201107107,8/27/2019 0:00,8/27/2013 0:00,1200,11,Northeast,1128,1,121,"RAPE, FORCIBLE",0400 0500 0527 0554 1251 1258,6,F,H,504,OTHER RESIDENCE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,812,,,6100    SAINT ALBANS                 ST,,34.1246,-118.1845
190312282,4/11/2019 0:00,1/1/2013 0:00,1400,3,Southwest,313,2,813,CHILD ANNOYING (17YRS & UNDER),0503 0500,8,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,813,,,,4000 W  28TH                         ST,,34.0315,-118.3292
190417594,12/4/2019 0:00,12/3/2013 0:00,1530,4,Hollenbeck,416,1,330,BURGLARY FROM VEHICLE,0344 1302,-5,M,O,101,STREET,,,IC,Invest Cont,330,,,,400    CLIFTON                      ST,,34.0782,-118.2098
191610220,6/12/2019 0:00,6/12/2013 0:00,450,16,Foothill,1655,1,330,BURGLARY FROM VEHICLE,1300 2004 0314,38,M,X,101,STREET,,,AA,Adult Arrest,330,,,,10400    MARY BELL                    AV,,34.2591,-118.35
190412029,7/10/2019 0:00,9/14/2013 0:00,1200,4,Hollenbeck,471,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1259 0522 0556,9,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,2200    WHITTIER                     BL,,34.0381,-118.2262
191121389,12/29/2019 0:00,7/1/2013 0:00,1,11,Northeast,1115,1,121,"RAPE, FORCIBLE",1258 0913 1814 0533 0527,13,F,W,738,LIBRARY,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,121,812,,,5000    CASPAR                       AV,,34.1368,-118.2134
190215527,7/27/2019 0:00,9/1/2013 0:00,700,2,Rampart,266,2,354,THEFT OF IDENTITY,0100 0928,42,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,354,,,,1800 W  7TH                          ST,,34.055,-118.2735
190416546,11/6/2019 0:00,5/1/2013 0:00,700,4,Hollenbeck,478,2,354,THEFT OF IDENTITY,0100 0377 1822,42,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3400    PERCY                        ST,,34.0287,-118.1999
191912803,7/2/2019 0:00,1/1/2013 0:00,1200,19,Mission,1944,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0522 1258 0913 0360,7,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,,,,11000    ONEIDA                       AV,,34.2735,-118.4409
190905237,1/26/2019 0:00,6/1/2013 0:00,600,9,Van Nuys,994,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,1258 0522 0515,6,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,815,,,4000    MURIETTA                     AV,,34.1429,-118.4351
191309019,2/26/2019 0:00,1/1/2013 0:00,5,13,Newton,1313,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0558 0551 0522 0448 0503,11,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,1200 E  20TH                         ST,,34.0243,-118.2526
191804991,1/18/2019 0:00,9/3/2013 0:00,1200,18,Southeast,1835,2,354,THEFT OF IDENTITY,0929 1822,18,M,V,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1400 E  106TH                        ST,,33.9396,-118.2504
191224310,9/13/2019 0:00,12/1/2013 0:00,1,12,77th Street,1273,1,121,"RAPE, FORCIBLE",0913 0527 0532 0400,13,F,B,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,812,,,8700 S  SAINT ANDREWS                PL,,33.9591,-118.3112
190321068,9/17/2019 0:00,3/22/2013 0:00,1030,3,Southwest,358,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,1501,-5,F,A,719,MEDICAL/DENTAL OFFICES,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,815,,,,1000 W  34TH                         ST,,34.024,-118.2869
190312495,5/9/2019 0:00,8/30/2013 0:00,800,3,Southwest,358,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,,-5,M,W,719,MEDICAL/DENTAL OFFICES,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,815,,,,3500    WATT                         WY,,34.0185,-118.2889
190622622,11/20/2019 0:00,12/31/2013 0:00,1200,6,Hollywood,649,2,354,THEFT OF IDENTITY,1822,57,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1600 N  SERRANO                      AV,,34.1001,-118.3071
191205669,1/24/2019 0:00,8/8/2013 0:00,600,12,77th Street,1265,2,354,THEFT OF IDENTITY,1822 0100,25,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1400 W  80TH                         ST,,33.9664,-118.3003
191229213,12/11/2019 0:00,1/1/2013 0:00,1800,12,77th Street,1268,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 0448 0510 0551,6,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,79TH                         ST,SAN PEDRO,33.9679,-118.2695
190210847,5/6/2019 0:00,9/1/2013 0:00,800,2,Rampart,261,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0913 2024 1258 1251 0500 0400 0515 0529,7,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,812,815,,,2600 W  7TH                          ST,,34.059,-118.2824
192106305,2/21/2019 0:00,11/15/2013 0:00,1200,21,Topanga,2157,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0519 1258,7,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,821,,,,20700    VANOWEN                      ST,,34.1938,-118.5839
190213403,6/20/2019 0:00,11/1/2013 0:00,900,2,Rampart,236,2,354,THEFT OF IDENTITY,1822 0928,22,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,200 N  UNION                        AV,,34.0657,-118.268
